IP,Subscriber Info Disclosure,Fraudulent Activity,Malformed Packets
160.151.233.134,False,False,False
159.71.202.88,False,False,False
34.49.233.145,False,False,False
210.113.50.101,False,False,False
34.111.168.164,False,False,False
116.211.150.141,False,False,False
172.65.65.22,False,False,False
38.249.108.121,False,False,False
198.190.69.225,False,False,False
105.169.186.193,False,False,False
105.173.206.224,False,False,False
147.46.174.102,False,False,False
139.38.232.225,False,False,False
166.104.154.123,False,False,False
141.219.1.108,False,False,False
112.194.64.179,False,False,False
166.104.9.155,False,False,False
147.47.197.202,False,False,False
143.83.169.228,False,False,False
141.117.215.35,False,False,False
96.126.5.95,False,False,False
161.30.195.143,False,False,False
108.167.244.203,False,False,False
160.141.128.17,False,False,False
202.243.130.47,False,False,False
