IP,GTP Anomalies
210.113.50.101,"{'Error': 'payload', 'Success': False}"
159.71.202.88,"{'Error': 'payload', 'Success': False}"
116.211.150.141,"{'Error': 'payload', 'Success': False}"
34.111.168.164,"{'Error': 'payload', 'Success': False}"
172.65.65.22,"{'Error': 'payload', 'Success': False}"
108.167.244.203,"{'Error': 'payload', 'Success': False}"
202.243.130.47,"{'Error': 'payload', 'Success': False}"
160.141.128.17,"{'Error': 'payload', 'Success': False}"
198.190.69.225,"{'Error': 'payload', 'Success': False}"
105.169.186.193,"{'Error': 'payload', 'Success': False}"
105.173.206.224,"{'Error': 'payload', 'Success': False}"
147.46.174.102,"{'Error': 'payload', 'Success': False}"
139.38.232.225,"{'Error': 'payload', 'Success': False}"
166.104.154.123,"{'Error': 'payload', 'Success': False}"
141.219.1.108,"{'Error': 'payload', 'Success': False}"
112.194.64.179,"{'Error': 'payload', 'Success': False}"
166.104.9.155,"{'Error': 'payload', 'Success': False}"
147.47.197.202,"{'Error': 'payload', 'Success': False}"
143.83.169.228,"{'Error': 'payload', 'Success': False}"
141.117.215.35,"{'Error': 'payload', 'Success': False}"
38.249.108.121,"{'Error': 'payload', 'Success': False}"
161.30.195.143,"{'Error': 'payload', 'Success': False}"
160.151.233.134,"{'Error': 'payload', 'Success': False}"
34.49.233.145,"{'Error': 'payload', 'Success': False}"
96.126.5.95,"{'Error': 'payload', 'Success': False}"
